time,open,high,low,close,tick_volume,spread,real_volume,datetime
1737981900,1.05154,1.05277,1.0512299999999999,1.05211,1180,9,0,2025-01-27 12:45:00
1737982800,1.05209,1.05327,1.05168,1.05223,1520,9,0,2025-01-27 13:00:00
1737983700,1.05224,1.05227,1.05094,1.05131,1279,8,0,2025-01-27 13:15:00
1737984600,1.05131,1.05244,1.05106,1.05214,1179,9,0,2025-01-27 13:30:00
1737985500,1.05211,1.05283,1.05183,1.05194,1095,9,0,2025-01-27 13:45:00
1737986400,1.05192,1.05241,1.05162,1.0518,1186,9,0,2025-01-27 14:00:00
1737987300,1.05183,1.05231,1.05139,1.05163,1236,9,0,2025-01-27 14:15:00
1737988200,1.05162,1.05192,1.05093,1.05101,1317,9,0,2025-01-27 14:30:00
1737989100,1.05103,1.05175,1.05076,1.05089,1198,8,0,2025-01-27 14:45:00
1737990000,1.05089,1.05094,1.05025,1.0505,1000,8,0,2025-01-27 15:00:00
1737990900,1.05049,1.05094,1.05025,1.05028,1100,9,0,2025-01-27 15:15:00
1737991800,1.05027,1.05035,1.04935,1.04952,1112,9,0,2025-01-27 15:30:00
1737992700,1.04955,1.04999,1.04948,1.04987,1079,9,0,2025-01-27 15:45:00
1737993600,1.04989,1.05067,1.04971,1.05047,1003,9,0,2025-01-27 16:00:00
1737994500,1.05049,1.05071,1.04993,1.05054,1042,9,0,2025-01-27 16:15:00
1737995400,1.05052,1.05055,1.04913,1.04927,1151,9,0,2025-01-27 16:30:00
1737996300,1.04928,1.04974,1.04888,1.04906,973,9,0,2025-01-27 16:45:00
1737997200,1.04906,1.04911,1.04843,1.04855,926,9,0,2025-01-27 17:00:00
1737998100,1.04852,1.04943,1.04847,1.04877,743,9,0,2025-01-27 17:15:00
1737999000,1.04877,1.04892,1.04853,1.04874,629,9,0,2025-01-27 17:30:00
1737999900,1.04875,1.04943,1.0487,1.04884,778,9,0,2025-01-27 17:45:00
1738000800,1.04882,1.04938,1.04851,1.04893,953,9,0,2025-01-27 18:00:00
1738001700,1.0489,1.04891,1.0484,1.04843,807,9,0,2025-01-27 18:15:00
1738002600,1.04842,1.04862,1.04813,1.04855,631,9,0,2025-01-27 18:30:00
1738003500,1.04852,1.04885,1.04835,1.04845,594,9,0,2025-01-27 18:45:00
1738004400,1.04844,1.04847,1.04789,1.04808,670,9,0,2025-01-27 19:00:00
1738005300,1.0481,1.04874,1.04801,1.04873,615,9,0,2025-01-27 19:15:00
1738006200,1.04873,1.04908,1.04848,1.04906,656,9,0,2025-01-27 19:30:00
1738007100,1.04908,1.04926,1.04874,1.04921,604,9,0,2025-01-27 19:45:00
1738008000,1.04921,1.04923,1.0488,1.04907,618,9,0,2025-01-27 20:00:00
1738008900,1.04905,1.04914,1.04889,1.0491,434,9,0,2025-01-27 20:15:00
1738009800,1.0491,1.04938,1.04887,1.04936,407,9,0,2025-01-27 20:30:00
1738010700,1.04935,1.04936,1.0487,1.04878,482,9,0,2025-01-27 20:45:00
1738011600,1.04877,1.04897,1.04854,1.04897,278,9,0,2025-01-27 21:00:00
1738012500,1.04896,1.04908,1.04888,1.04896,166,9,0,2025-01-27 21:15:00
1738013400,1.04896,1.04906,1.04883,1.04904,190,9,0,2025-01-27 21:30:00
1738014300,1.04904,1.04919,1.04896,1.04911,212,9,0,2025-01-27 21:45:00
1738015200,1.04907,1.0491,1.04883,1.04887,313,23,0,2025-01-27 22:00:00
1738016100,1.04886,1.04907,1.04886,1.04897,326,41,0,2025-01-27 22:15:00
1738017000,1.04899,1.04907,1.04886,1.0489,289,39,0,2025-01-27 22:30:00
1738017900,1.04892,1.04914,1.04862,1.04877,234,26,0,2025-01-27 22:45:00
1738018800,1.04884,1.04888,1.04715,1.04733,702,9,0,2025-01-27 23:00:00
1738019700,1.04734,1.04734,1.04404,1.04456,1807,9,0,2025-01-27 23:15:00
1738020600,1.04456,1.0453,1.04277,1.04405,2077,9,0,2025-01-27 23:30:00
1738021500,1.04407,1.04503,1.04341,1.04368,1150,9,0,2025-01-27 23:45:00
1738022400,1.04371,1.04474,1.0435,1.04436,1423,9,0,2025-01-28 00:00:00
1738023300,1.04438,1.04501,1.0432,1.0444,1310,9,0,2025-01-28 00:15:00
1738024200,1.04443,1.04505,1.04432,1.04485,741,9,0,2025-01-28 00:30:00
1738025100,1.04485,1.04514,1.04433,1.04452,649,9,0,2025-01-28 00:45:00
1738026000,1.04451,1.04521,1.04414,1.04518,656,9,0,2025-01-28 01:00:00
1738026900,1.04519,1.0455,1.04513,1.04544,635,9,0,2025-01-28 01:15:00
1738027800,1.04544,1.04561,1.0447,1.04484,606,9,0,2025-01-28 01:30:00
1738028700,1.04484,1.04516,1.04293,1.0437400000000001,1701,9,0,2025-01-28 01:45:00
1738029600,1.04372,1.04412,1.04239,1.04294,1841,9,0,2025-01-28 02:00:00
1738030500,1.0429599999999999,1.04378,1.0428,1.04361,726,9,0,2025-01-28 02:15:00
1738031400,1.04359,1.04383,1.04321,1.04327,562,9,0,2025-01-28 02:30:00
1738032300,1.04327,1.0437,1.04284,1.04334,494,9,0,2025-01-28 02:45:00
1738033200,1.04333,1.04369,1.04312,1.04355,452,9,0,2025-01-28 03:00:00
1738034100,1.04356,1.04376,1.04319,1.0437,437,9,0,2025-01-28 03:15:00
1738035000,1.0437,1.04391,1.04327,1.04343,470,9,0,2025-01-28 03:30:00
1738035900,1.04342,1.04352,1.04287,1.04289,415,9,0,2025-01-28 03:45:00
1738036800,1.04292,1.04323,1.04287,1.04311,399,9,0,2025-01-28 04:00:00
1738037700,1.04311,1.04324,1.04277,1.04278,332,9,0,2025-01-28 04:15:00
1738038600,1.04277,1.04288,1.04253,1.04287,368,9,0,2025-01-28 04:30:00
1738039500,1.04288,1.04344,1.04279,1.04333,324,9,0,2025-01-28 04:45:00
1738040400,1.04334,1.04362,1.0433,1.04359,314,9,0,2025-01-28 05:00:00
1738041300,1.0436,1.04378,1.04344,1.04376,281,9,0,2025-01-28 05:15:00
1738042200,1.04377,1.04387,1.04363,1.04369,266,9,0,2025-01-28 05:30:00
1738043100,1.04369,1.04385,1.04355,1.0436,287,9,0,2025-01-28 05:45:00
1738044000,1.0436,1.04426,1.04354,1.0441799999999999,463,9,0,2025-01-28 06:00:00
1738044900,1.04419,1.04432,1.044,1.04421,314,9,0,2025-01-28 06:15:00
1738045800,1.04421,1.04438,1.04371,1.04375,328,9,0,2025-01-28 06:30:00
1738046700,1.04376,1.04392,1.04333,1.04373,451,9,0,2025-01-28 06:45:00
1738047600,1.04373,1.04426,1.04328,1.04397,932,9,0,2025-01-28 07:00:00
1738048500,1.04395,1.04416,1.04359,1.04409,924,9,0,2025-01-28 07:15:00
1738049400,1.04411,1.04415,1.04276,1.04312,795,9,0,2025-01-28 07:30:00
1738050300,1.04311,1.0436,1.04285,1.04339,813,9,0,2025-01-28 07:45:00
1738051200,1.0434,1.0435699999999999,1.04276,1.04297,1203,9,0,2025-01-28 08:00:00
